M_dev,time
0.689520094562093,2016-03-09T10:58:00Z
0.748993888351293,2016-03-10T10:58:00Z
0.980731336472666,2013-04-07T12:58:00Z
1.08420428620472,2015-03-09T11:41:00Z
1.18941051743686,2016-03-08T13:58:00Z
1.19199614896007,2016-05-04T11:58:00Z
1.24664937989169,2016-03-10T10:50:00Z
1.24793639866469,2007-04-19T11:55:00Z
1.26124073970728,2015-04-06T10:58:00Z
1.30791056393709,2007-05-15T10:55:00Z
1.32600176230202,2015-04-05T12:58:00Z
1.33302459730716,2011-04-15T09:55:00Z
1.3346557323503,2007-05-15T12:55:00Z
1.34888902628001,2003-10-16T11:55:00Z
1.37707254141335,2013-04-10T12:58:00Z
1.38211799534231,2016-04-24T11:58:00Z
1.38445808136523,2010-05-10T10:55:00Z
1.39089836454627,2013-04-27T11:58:00Z
1.42137471739513,2004-03-25T09:55:00Z
1.42964973345825,2016-04-11T12:58:00Z
1.43027331661933,2015-10-24T12:58:00Z
1.43888473014999,2015-10-24T13:58:00Z
1.44634072144997,2010-04-12T12:55:00Z
1.44659018762161,2011-04-15T07:55:00Z
1.46530532496245,2004-04-29T09:55:00Z
1.48010869486581,2016-05-16T12:58:00Z
1.48416312474495,2015-05-04T09:58:00Z
1.48448766192271,2016-04-11T09:58:00Z
1.49365164231994,2009-04-27T10:55:00Z
1.50121979834577,2007-04-23T14:55:00Z
1.50681912459514,2015-09-14T13:58:00Z
1.51584204543697,2009-04-26T11:55:00Z
1.52945346859249,2013-04-28T13:58:00Z
1.5322188828342,2007-06-01T09:55:00Z
1.54182210583261,2011-04-15T10:55:00Z
1.5433370292996,2012-09-24T12:55:00Z
1.58130577535928,2007-03-29T13:55:00Z
1.60367779659105,2013-04-28T12:58:00Z
1.61260792399345,2016-03-08T14:58:00Z
1.62110392152789,2007-05-25T08:55:00Z
1.62362654908861,2013-04-07T14:58:00Z
1.63923385807572,2003-04-15T10:55:00Z
1.64472769211389,2012-04-14T11:55:00Z
1.65046268957112,2016-03-12T13:58:00Z
1.65221986744335,2007-05-27T13:55:00Z
1.65555714542797,2015-11-27T13:58:00Z
1.66416643126961,2016-03-11T13:58:00Z
1.67546722903331,2015-10-31T10:58:00Z
1.68477630249332,2007-03-21T13:55:00Z
1.70470965674768,2014-04-13T11:58:00Z
1.71043549465923,2007-05-15T10:35:00Z
1.71439404845909,2004-03-26T08:55:00Z
1.71465515035566,2015-05-16T11:58:00Z
1.72619207757638,2012-06-15T14:55:00Z
1.73417221623782,2006-04-21T12:55:00Z
1.74415675356578,2015-03-17T09:58:00Z
1.74838948070668,2007-05-26T13:55:00Z
1.75449655444698,2008-04-24T12:55:00Z
1.75575391750729,2012-06-08T12:55:00Z
1.75737686358914,2015-10-23T09:58:00Z
1.75833736201189,2006-05-18T15:55:00Z
1.77070896113326,2010-04-13T12:55:00Z
1.78294876207873,2016-03-24T10:58:00Z
1.78355255854104,2005-03-23T14:55:00Z
